City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Tuktoyaktuk,CA,2020-06-21 22:42:35,69.45,-133.04,48.2,70,75,11.41
215,Penzance,GB,2020-06-21 22:43:40,50.12,-5.54,57.99,93,3,6.93
216,Lander,US,2020-06-21 22:39:56,42.83,-108.73,71.6,37,40,4.7
217,Tabuk,PH,2020-06-21 22:43:40,17.42,121.44,77.88,85,86,3.51
218,Shimoda,JP,2020-06-21 22:43:41,34.67,138.95,63.0,95,100,5.01
219,Port Moresby,PG,2020-06-21 22:39:20,-9.44,147.18,77.0,94,40,3.36
220,Canutama,BR,2020-06-21 22:43:41,-6.53,-64.38,83.03,62,72,2.66
221,Kingaroy,AU,2020-06-21 22:43:41,-26.53,151.83,46.4,100,0,6.58
222,Ahipara,NZ,2020-06-21 22:43:41,-35.17,173.17,62.47,78,35,8.55
223,Bambanglipuro,ID,2020-06-21 22:43:41,-7.95,110.28,76.84,86,88,9.48
224,Mayo,US,2020-06-21 22:43:41,38.89,-76.51,82.4,57,1,9.17
225,Haines Junction,CA,2020-06-21 22:43:41,60.75,-137.51,56.53,38,100,10.02
226,Tyrma,RU,2020-06-21 22:43:41,50.08,132.17,50.9,93,100,9.1
227,Garowe,SO,2020-06-21 22:43:41,8.41,48.48,84.78,40,81,17.94
228,Camabatela,AO,2020-06-21 22:43:41,-8.19,15.38,57.96,40,0,1.52
229,Cape Town,ZA,2020-06-21 22:38:41,-33.93,18.42,57.0,93,34,5.82
230,Magomeni,TZ,2020-06-21 22:43:41,-6.8,39.25,77.0,83,20,11.41
231,Norman Wells,CA,2020-06-21 22:43:41,65.28,-126.83,53.6,100,90,14.99
232,Walvis Bay,NA,2020-06-21 22:43:41,-22.96,14.51,68.0,28,32,4.7
233,Boyolangu,ID,2020-06-21 22:43:41,-8.12,111.89,74.77,88,78,3.94
234,Porto Walter,BR,2020-06-21 22:43:41,-8.27,-72.74,76.1,90,45,2.57
235,Tiarei,PF,2020-06-21 22:43:41,-17.53,-149.33,86.0,58,40,3.36
236,Buluang,PH,2020-06-21 22:43:41,13.31,123.34,81.86,81,98,3.49
237,Swan Hill,AU,2020-06-21 22:43:41,-35.34,143.55,45.64,91,30,8.37
238,Xingyi,CN,2020-06-21 22:43:41,24.19,102.82,61.63,96,100,3.13
239,Upington,ZA,2020-06-21 22:43:42,-28.45,21.26,48.2,53,0,5.82
240,Bambous Virieux,MU,2020-06-21 22:43:42,-20.34,57.76,70.0,83,40,10.29
241,Mariental,NA,2020-06-21 22:42:45,-24.63,17.97,54.18,36,5,9.64
